phrase,normalized_phrase,category,severity,language,active
the election was cancelled,the election was cancelled,voting_process,5,en,true
election cancelled,election cancelled,voting_process,5,en,true
voting cancelled,voting cancelled,voting_process,5,en,true
the vote has been cancelled,the vote has been cancelled,voting_process,5,en,true
the election is no longer happening,the election is no longer happening,voting_process,5,en,true
the election has been suspended,the election has been suspended,voting_process,5,en,true
polling has been stopped,polling has been stopped,voting_process,5,en,true
the election is invalid,the election is invalid,voting_process,5,en,true
the vote is invalid,the vote is invalid,voting_process,5,en,true
the voting process is fake,the voting process is fake,voting_process,5,en,true
the election commission cancelled voting,the election commission cancelled voting,voting_process,5,en,true
officials stopped the election,officials stopped the election,voting_process,5,en,true
voting has been suspended nationwide,voting has been suspended nationwide,voting_process,5,en,true
the election will not take place,the election will not take place,voting_process,5,en,true
the election is cancelled today,the election is cancelled today,voting_process,5,en,true
do not go because voting is cancelled,do not go because voting is cancelled,voting_process,5,en,true
the polling process was cancelled,the polling process was cancelled,voting_process,5,en,true
voting was stopped by authorities,voting was stopped by authorities,voting_process,5,en,true
the election was postponed,the election was postponed,voting_date,5,en,true
election postponed,election postponed,voting_date,5,en,true
voting moved to tomorrow,voting moved to tomorrow,voting_date,5,en,true
the vote was moved to another day,the vote was moved to another day,voting_date,5,en,true
voting date changed,voting date changed,voting_date,5,en,true
the election date changed,the election date changed,voting_date,5,en,true
voting is tomorrow not today,voting is tomorrow not today,voting_date,5,en,true
go vote tomorrow instead,go vote tomorrow instead,voting_date,5,en,true
election moved to next week,election moved to next week,voting_date,5,en,true
the election is delayed,the election is delayed,voting_date,5,en,true
voting will happen next month,voting will happen next month,voting_date,5,en,true
today is not election day,today is not election day,voting_date,5,en,true
the election date was secretly changed,the election date was secretly changed,voting_date,5,en,true
polling day changed,polling day changed,voting_date,5,en,true
vote another day,vote another day,voting_date,5,en,true
voting starts tomorrow,voting starts tomorrow,voting_date,5,en,true
voting has been moved from today,voting has been moved from today,voting_date,5,en,true
the date on your invitation is wrong,the date on your invitation is wrong,voting_date,5,en,true
the official voting date is not today,the official voting date is not today,voting_date,5,en,true
the election was rescheduled,the election was rescheduled,voting_date,5,en,true
polling stations close at 18:00,polling stations close at 18 00,voting_hours,4,en,true
polling stations close at 6 pm,polling stations close at 6 pm,voting_hours,4,en,true
voting ends at noon,voting ends at noon,voting_hours,4,en,true
voting ends at 12,voting ends at 12,voting_hours,4,en,true
polling stations open only after lunch,polling stations open only after lunch,voting_hours,4,en,true
voting starts at 10:00,voting starts at 10 00,voting_hours,4,en,true
voting begins late today,voting begins late today,voting_hours,4,en,true
voting hours changed,voting hours changed,voting_hours,4,en,true
polling stations are open only for two hours,polling stations are open only for two hours,voting_hours,4,en,true
you can vote only before 10 am,you can vote only before 10 am,voting_hours,4,en,true
voting ends early,voting ends early,voting_hours,4,en,true
polls close early today,polls close early today,voting_hours,4,en,true
polling stations closed before 21:00,polling stations closed before 21 00,voting_hours,4,en,true
voting is only in the morning,voting is only in the morning,voting_hours,4,en,true
voting is only in the evening,voting is only in the evening,voting_hours,4,en,true
the voting schedule was changed,the voting schedule was changed,voting_hours,4,en,true
polls will close before 21:00,polls will close before 21 00,voting_hours,4,en,true
polls open at 09:00,polls open at 09 00,voting_hours,4,en,true
your polling station moved,your polling station moved,polling_location,5,en,true
polling station moved,polling station moved,polling_location,5,en,true
polling stations are closed,polling stations are closed,polling_location,5,en,true
your voting location changed,your voting location changed,polling_location,5,en,true
your polling place changed,your polling place changed,polling_location,5,en,true
all polling stations are closed,all polling stations are closed,polling_location,5,en,true
the school polling station is closed,the school polling station is closed,polling_location,5,en,true
the polling station was moved to city hall,the polling station was moved to city hall,polling_location,5,en,true
go to a different polling station,go to a different polling station,polling_location,5,en,true
do not go to your assigned polling station,do not go to your assigned polling station,polling_location,5,en,true
your precinct changed,your precinct changed,polling_location,5,en,true
the polling location is fake,the polling location is fake,polling_location,5,en,true
the polling address is wrong,the polling address is wrong,polling_location,5,en,true
the polling station has been relocated,the polling station has been relocated,polling_location,5,en,true
only central polling stations are open,only central polling stations are open,polling_location,5,en,true
local polling stations are closed,local polling stations are closed,polling_location,5,en,true
polling station closed due to emergency,polling station closed due to emergency,polling_location,5,en,true
your polling station no longer exists,your polling station no longer exists,polling_location,5,en,true
the voting center has been moved,the voting center has been moved,polling_location,5,en,true
all voters must vote in the capital,all voters must vote in the capital,polling_location,5,en,true
vote by sms,vote by sms,fake_voting_method,5,en,true
can i vote by sms,can i vote by sms,fake_voting_method,5,en,true
you can vote by SMS,you can vote by sms,fake_voting_method,5,en,true
SMS voting is available,sms voting is available,fake_voting_method,5,en,true
vote by text message,vote by text message,fake_voting_method,5,en,true
vote by phone,vote by phone,fake_voting_method,5,en,true
vote using your phone,vote using your phone,fake_voting_method,5,en,true
vote online,vote online,fake_voting_method,5,en,true
online voting is available,online voting is available,fake_voting_method,5,en,true
vote by email,vote by email,fake_voting_method,5,en,true
send your vote by email,send your vote by email,fake_voting_method,5,en,true
vote through telegram,vote through telegram,fake_voting_method,5,en,true
vote through facebook,vote through facebook,fake_voting_method,5,en,true
vote using QR code,vote using qr code,fake_voting_method,5,en,true
scan this code to vote,scan this code to vote,fake_voting_method,5,en,true
vote by mobile app,vote by mobile app,fake_voting_method,5,en,true
remote voting is available for everyone,remote voting is available for everyone,fake_voting_method,5,en,true
send your candidate number by SMS,send your candidate number by sms,fake_voting_method,5,en,true
text your vote to this number,text your vote to this number,fake_voting_method,5,en,true
vote by calling this number,vote by calling this number,fake_voting_method,5,en,true
vote on this website,vote on this website,fake_voting_method,5,en,true
click this link to vote,click this link to vote,fake_voting_method,5,en,true
use this online ballot,use this online ballot,fake_voting_method,5,en,true
vote through messenger,vote through messenger,fake_voting_method,5,en,true
vote from home using SMS,vote from home using sms,fake_voting_method,5,en,true
phone voting is official,phone voting is official,fake_voting_method,5,en,true
internet voting is official,internet voting is official,fake_voting_method,5,en,true
vote by WhatsApp,vote by whatsapp,fake_voting_method,5,en,true
send passport number to vote by SMS,send passport number to vote by sms,fake_voting_method,5,en,true
vote by viber,vote by viber,fake_voting_method,5,en,true
mobile voting is open now,mobile voting is open now,fake_voting_method,5,en,true
do not vote today,do not vote today,voter_suppression,5,en,true
stay home and do not vote,stay home and do not vote,voter_suppression,5,en,true
your vote will not count,your vote will not count,voter_suppression,5,en,true
voting is useless,voting is useless,voter_suppression,5,en,true
do not go to the polling station,do not go to the polling station,voter_suppression,5,en,true
there is no reason to vote,there is no reason to vote,voter_suppression,5,en,true
only party members can vote,only party members can vote,voter_suppression,5,en,true
young people cannot vote today,young people cannot vote today,voter_suppression,5,en,true
students cannot vote,students cannot vote,voter_suppression,5,en,true
diaspora voters should not vote,diaspora voters should not vote,voter_suppression,5,en,true
people from this region cannot vote,people from this region cannot vote,voter_suppression,5,en,true
do not risk going to vote,do not risk going to vote,voter_suppression,5,en,true
police will check voters,police will check voters,voter_suppression,5,en,true
voters will be fined,voters will be fined,voter_suppression,5,en,true
your employer will know how you voted,your employer will know how you voted,voter_suppression,5,en,true
authorities will punish voters,authorities will punish voters,voter_suppression,5,en,true
voting today is dangerous,voting today is dangerous,voter_suppression,5,en,true
avoid polling stations,avoid polling stations,voter_suppression,5,en,true
do not vote if you are undecided,do not vote if you are undecided,voter_suppression,5,en,true
your vote will be tracked,your vote will be tracked,voter_suppression,5,en,true
people who vote will lose benefits,people who vote will lose benefits,voter_suppression,5,en,true
do not vote unless invited,do not vote unless invited,voter_suppression,5,en,true
only selected citizens can vote,only selected citizens can vote,voter_suppression,5,en,true
ballots with pen are invalid,ballots with pen are invalid,ballot_confusion,4,en,true
ballots marked with pen are invalid,ballots marked with pen are invalid,ballot_confusion,4,en,true
ballots marked with pencil are invalid,ballots marked with pencil are invalid,ballot_confusion,4,en,true
ballots with stamp are invalid,ballots with stamp are invalid,ballot_confusion,4,en,true
folded ballots are invalid,folded ballots are invalid,ballot_confusion,4,en,true
ballots must be photographed,ballots must be photographed,ballot_confusion,4,en,true
take a photo of your ballot,take a photo of your ballot,ballot_confusion,4,en,true
write your name on the ballot,write your name on the ballot,ballot_confusion,4,en,true
sign your ballot,sign your ballot,ballot_confusion,4,en,true
blank ballots count for candidate X,blank ballots count for candidate x,ballot_confusion,4,en,true
damaged ballots are all counted for one party,damaged ballots are all counted for one party,ballot_confusion,4,en,true
ask for two ballots,ask for two ballots,ballot_confusion,4,en,true
use two stamps,use two stamps,ballot_confusion,4,en,true
cross out all candidates,cross out all candidates,ballot_confusion,4,en,true
vote is valid only with a blue pen,vote is valid only with a blue pen,ballot_confusion,4,en,true
vote is valid only with red ink,vote is valid only with red ink,ballot_confusion,4,en,true
ballots without signature are invalid,ballots without signature are invalid,ballot_confusion,4,en,true
ballots are already marked,ballots are already marked,ballot_confusion,4,en,true
ballots are fake,ballots are fake,ballot_confusion,4,en,true
spoiled ballots count against your candidate,spoiled ballots count against your candidate,ballot_confusion,4,en,true
do not fold the ballot,do not fold the ballot,ballot_confusion,4,en,true
fold the ballot twice or it is invalid,fold the ballot twice or it is invalid,ballot_confusion,4,en,true
id cards are not accepted,id cards are not accepted,id_requirement,4,en,true
passport only for voting,passport only for voting,id_requirement,4,en,true
bring only passport,bring only passport,id_requirement,4,en,true
expired documents are not accepted,expired documents are not accepted,id_requirement,4,en,true
students need a special certificate,students need a special certificate,id_requirement,4,en,true
you need a tax certificate to vote,you need a tax certificate to vote,id_requirement,4,en,true
you need proof of employment to vote,you need proof of employment to vote,id_requirement,4,en,true
you need a vaccine certificate to vote,you need a vaccine certificate to vote,id_requirement,4,en,true
you need a party invitation to vote,you need a party invitation to vote,id_requirement,4,en,true
only biometric passports are accepted,only biometric passports are accepted,id_requirement,4,en,true
old ID cards are invalid,old id cards are invalid,id_requirement,4,en,true
driver license is enough to vote,driver license is enough to vote,id_requirement,4,en,true
you can vote without any ID,you can vote without any id,id_requirement,4,en,true
bring a utility bill to vote,bring a utility bill to vote,id_requirement,4,en,true
bring military record to vote,bring military record to vote,id_requirement,4,en,true
voters need a registration code,voters need a registration code,id_requirement,4,en,true
you must register again today,you must register again today,id_requirement,4,en,true
you need a special QR code to vote,you need a special qr code to vote,id_requirement,4,en,true
you need a bank card to vote,you need a bank card to vote,id_requirement,4,en,true
results already decided,results already decided,results_misinformation,4,en,true
official results leaked,official results leaked,results_misinformation,4,en,true
winner already announced,winner already announced,results_misinformation,4,en,true
votes have already been counted,votes have already been counted,results_misinformation,4,en,true
election result is final before polls close,election result is final before polls close,results_misinformation,4,en,true
preliminary results are final,preliminary results are final,results_misinformation,4,en,true
exit polls are official results,exit polls are official results,results_misinformation,4,en,true
candidate X already won,candidate x already won,results_misinformation,4,en,true
candidate Y already lost,candidate y already lost,results_misinformation,4,en,true
the commission already chose the winner,the commission already chose the winner,results_misinformation,4,en,true
ballots are already counted,ballots are already counted,results_misinformation,4,en,true
results were published before voting,results were published before voting,results_misinformation,4,en,true
all diaspora votes were rejected,all diaspora votes were rejected,results_misinformation,4,en,true
all urban votes were cancelled,all urban votes were cancelled,results_misinformation,4,en,true
the final result is known,the final result is known,results_misinformation,4,en,true
secret results show the winner,secret results show the winner,results_misinformation,4,en,true
do not vote because the winner is known,do not vote because the winner is known,results_misinformation,4,en,true
official results are available on this private channel,official results are available on this private channel,results_misinformation,4,en,true
official election commission message,official election commission message,official_impersonation,5,en,true
CEC confirms election cancelled,cec confirms election cancelled,official_impersonation,5,en,true
central electoral commission says vote by SMS,central electoral commission says vote by sms,official_impersonation,5,en,true
official polling station notice,official polling station notice,official_impersonation,5,en,true
government says do not vote today,government says do not vote today,official_impersonation,5,en,true
police announcement polling stations closed,police announcement polling stations closed,official_impersonation,5,en,true
mayor office changed voting place,mayor office changed voting place,official_impersonation,5,en,true
official message voting postponed,official message voting postponed,official_impersonation,5,en,true
CEC link to vote online,cec link to vote online,official_impersonation,5,en,true
election authority asks for ID by SMS,election authority asks for id by sms,official_impersonation,5,en,true
official commission asks voters to register on this website,official commission asks voters to register on this website,official_impersonation,5,en,true
CEC announces new voting hours,cec announces new voting hours,official_impersonation,5,en,true
official election chatbot says vote online,official election chatbot says vote online,official_impersonation,5,en,true
the ministry confirms polling stations are closed,the ministry confirms polling stations are closed,official_impersonation,5,en,true
observers are banned,observers are banned,observer_misinformation,3,en,true
observers cannot enter polling stations,observers cannot enter polling stations,observer_misinformation,3,en,true
journalists are not allowed near polling stations,journalists are not allowed near polling stations,observer_misinformation,3,en,true
citizens cannot report violations,citizens cannot report violations,observer_misinformation,3,en,true
photos of violations are illegal,photos of violations are illegal,observer_misinformation,3,en,true
international observers left the country,international observers left the country,observer_misinformation,3,en,true
local observers are fake,local observers are fake,observer_misinformation,3,en,true
observers will cancel your vote,observers will cancel your vote,observer_misinformation,3,en,true
do not speak to observers,do not speak to observers,observer_misinformation,3,en,true
observers will record your vote,observers will record your vote,observer_misinformation,3,en,true
diaspora votes cancelled,diaspora votes cancelled,diaspora_voting,5,en,true
diaspora voters cannot vote,diaspora voters cannot vote,diaspora_voting,5,en,true
embassies are closed for voting,embassies are closed for voting,diaspora_voting,5,en,true
diaspora polling stations moved,diaspora polling stations moved,diaspora_voting,5,en,true
diaspora ballots are invalid,diaspora ballots are invalid,diaspora_voting,5,en,true
citizens abroad must vote online,citizens abroad must vote online,diaspora_voting,5,en,true
diaspora must vote by SMS,diaspora must vote by sms,diaspora_voting,5,en,true
only residents inside the country can vote,only residents inside the country can vote,diaspora_voting,5,en,true
diaspora voting ended yesterday,diaspora voting ended yesterday,diaspora_voting,5,en,true
diaspora voters need a special code,diaspora voters need a special code,diaspora_voting,5,en,true
diaspora votes will not be counted,diaspora votes will not be counted,diaspora_voting,5,en,true
all foreign polling stations are closed,all foreign polling stations are closed,diaspora_voting,5,en,true
voting will cause violence,voting will cause violence,fear_appeal,4,en,true
there will be attacks at polling stations,there will be attacks at polling stations,fear_appeal,4,en,true
polling stations are unsafe,polling stations are unsafe,fear_appeal,4,en,true
dangerous groups are waiting near voting centers,dangerous groups are waiting near voting centers,fear_appeal,4,en,true
do not bring your family to vote,do not bring your family to vote,fear_appeal,4,en,true
there will be arrests at polling stations,there will be arrests at polling stations,fear_appeal,4,en,true
voters will be photographed by police,voters will be photographed by police,fear_appeal,4,en,true
your name will be published if you vote,your name will be published if you vote,fear_appeal,4,en,true
armed groups control polling stations,armed groups control polling stations,fear_appeal,4,en,true
voting today is a trap,voting today is a trap,fear_appeal,4,en,true
sell your vote for cash,sell your vote for cash,vote_buying,5,en,true
get money for voting,get money for voting,vote_buying,5,en,true
bring proof of vote for payment,bring proof of vote for payment,vote_buying,5,en,true
take ballot photo to receive money,take ballot photo to receive money,vote_buying,5,en,true
payment after voting,payment after voting,vote_buying,5,en,true
free goods for voting,free goods for voting,vote_buying,5,en,true
receive voucher after voting,receive voucher after voting,vote_buying,5,en,true
vote for reward,vote for reward,vote_buying,5,en,true
send ballot photo for bonus,send ballot photo for bonus,vote_buying,5,en,true
your vote can be bought,your vote can be bought,vote_buying,5,en,true
alegerile au fost anulate,alegerile au fost anulate,voting_process,5,ro,true
votarea a fost anulata,votarea a fost anulata,voting_process,5,ro,true
scrutinul a fost anulat,scrutinul a fost anulat,voting_process,5,ro,true
votul a fost anulat,votul a fost anulat,voting_process,5,ro,true
alegerile nu mai au loc,alegerile nu mai au loc,voting_process,5,ro,true
procesul de votare a fost oprit,procesul de votare a fost oprit,voting_process,5,ro,true
votarea este suspendata,votarea este suspendata,voting_process,5,ro,true
votarea s a anulat,votarea s a anulat,voting_process,5,ro,true
