phrase,normalized_phrase,category,severity,language,active
можно голосовать онлайн,можно голосовать онлаин,fake_voting_method,5,ru,true
онлайн голосование доступно,онлаин голосование доступно,fake_voting_method,5,ru,true
голосовать через интернет,голосовать через интернет,fake_voting_method,5,ru,true
голосовать по электронной почте,голосовать по электроннои почте,fake_voting_method,5,ru,true
отправьте голос по email,отправьте голос по email,fake_voting_method,5,ru,true
голосовать через telegram,голосовать через telegram,fake_voting_method,5,ru,true
голосовать через facebook,голосовать через facebook,fake_voting_method,5,ru,true
сканируйте код чтобы проголосовать,сканируите код чтобы проголосовать,fake_voting_method,5,ru,true
голосовать через мобильное приложение,голосовать через мобильное приложение,fake_voting_method,5,ru,true
голосовать дома по смс,голосовать дома по смс,fake_voting_method,5,ru,true
голосование по телефону официально,голосование по телефону официально,fake_voting_method,5,ru,true
голосовать через whatsapp,голосовать через whatsapp,fake_voting_method,5,ru,true
отправьте номер паспорта по смс для голосования,отправьте номер паспорта по смс для голосования,fake_voting_method,5,ru,true
голосовать через viber,голосовать через viber,fake_voting_method,5,ru,true
не ходите голосовать сегодня,не ходите голосовать сегодня,voter_suppression,5,ru,true
оставайтесь дома и не голосуйте,оставаитесь дома и не голосуите,voter_suppression,5,ru,true
ваш голос не засчитают,ваш голос не засчитают,voter_suppression,5,ru,true
голосовать бесполезно,голосовать бесполезно,voter_suppression,5,ru,true
не ходите на избирательный участок,не ходите на избирательныи участок,voter_suppression,5,ru,true
только члены партии могут голосовать,только члены партии могут голосовать,voter_suppression,5,ru,true
студенты не могут голосовать,студенты не могут голосовать,voter_suppression,5,ru,true
молодые люди не могут голосовать сегодня,молодые люди не могут голосовать сегодня,voter_suppression,5,ru,true
диаспора не должна голосовать,диаспора не должна голосовать,voter_suppression,5,ru,true
избиратели этого региона не могут голосовать,избиратели этого региона не могут голосовать,voter_suppression,5,ru,true
не рискуйте идти голосовать,не рискуите идти голосовать,voter_suppression,5,ru,true
полиция проверяет избирателей,полиция проверяет избирателеи,voter_suppression,5,ru,true
избирателей будут штрафовать,избирателеи будут штрафовать,voter_suppression,5,ru,true
работодатель узнает как вы проголосовали,работодатель узнает как вы проголосовали,voter_suppression,5,ru,true
власти накажут избирателей,власти накажут избирателеи,voter_suppression,5,ru,true
голосовать сегодня опасно,голосовать сегодня опасно,voter_suppression,5,ru,true
избегайте избирательных участков,избегаите избирательных участков,voter_suppression,5,ru,true
ваш голос будет отслеживаться,ваш голос будет отслеживаться,voter_suppression,5,ru,true
бюллетени с ручкой недействительны,бюллетени с ручкои недеиствительны,ballot_confusion,4,ru,true
бюллетени отмеченные ручкой недействительны,бюллетени отмеченные ручкои недеиствительны,ballot_confusion,4,ru,true
бюллетени отмеченные карандашом недействительны,бюллетени отмеченные карандашом недеиствительны,ballot_confusion,4,ru,true
бюллетени со штампом недействительны,бюллетени со штампом недеиствительны,ballot_confusion,4,ru,true
сложенные бюллетени недействительны,сложенные бюллетени недеиствительны,ballot_confusion,4,ru,true
нужно сфотографировать бюллетень,нужно сфотографировать бюллетень,ballot_confusion,4,ru,true
сфотографируйте бюллетень,сфотографируите бюллетень,ballot_confusion,4,ru,true
напишите имя на бюллетене,напишите имя на бюллетене,ballot_confusion,4,ru,true
подпишите бюллетень,подпишите бюллетень,ballot_confusion,4,ru,true
пустые бюллетени засчитываются кандидату x,пустые бюллетени засчитываются кандидату x,ballot_confusion,4,ru,true
попросите два бюллетеня,попросите два бюллетеня,ballot_confusion,4,ru,true
используйте две печати,используите две печати,ballot_confusion,4,ru,true
зачеркните всех кандидатов,зачеркните всех кандидатов,ballot_confusion,4,ru,true
голос действителен только синей ручкой,голос деиствителен только синеи ручкои,ballot_confusion,4,ru,true
бюллетени уже отмечены,бюллетени уже отмечены,ballot_confusion,4,ru,true
бюллетени поддельные,бюллетени поддельные,ballot_confusion,4,ru,true
удостоверения личности не принимаются,удостоверения личности не принимаются,id_requirement,4,ru,true
только паспорт принимается,только паспорт принимается,id_requirement,4,ru,true
просроченные документы не принимаются,просроченные документы не принимаются,id_requirement,4,ru,true
студентам нужен специальный сертификат,студентам нужен специальныи сертификат,id_requirement,4,ru,true
нужна налоговая справка для голосования,нужна налоговая справка для голосования,id_requirement,4,ru,true
нужно подтверждение работы для голосования,нужно подтверждение работы для голосования,id_requirement,4,ru,true
нужен сертификат вакцинации для голосования,нужен сертификат вакцинации для голосования,id_requirement,4,ru,true
нужно партийное приглашение для голосования,нужно партииное приглашение для голосования,id_requirement,4,ru,true
принимаются только биометрические паспорта,принимаются только биометрические паспорта,id_requirement,4,ru,true
старые удостоверения недействительны,старые удостоверения недеиствительны,id_requirement,4,ru,true
водительских прав достаточно для голосования,водительских прав достаточно для голосования,id_requirement,4,ru,true
можно голосовать без документов,можно голосовать без документов,id_requirement,4,ru,true
нужен регистрационный код,нужен регистрационныи код,id_requirement,4,ru,true
нужно зарегистрироваться снова сегодня,нужно зарегистрироваться снова сегодня,id_requirement,4,ru,true
нужен qr код для голосования,нужен qr код для голосования,id_requirement,4,ru,true
результаты уже решены,результаты уже решены,results_misinformation,4,ru,true
официальные результаты утекли,официальные результаты утекли,results_misinformation,4,ru,true
победитель уже объявлен,победитель уже объявлен,results_misinformation,4,ru,true
голоса уже подсчитаны,голоса уже подсчитаны,results_misinformation,4,ru,true
результат окончательный до закрытия участков,результат окончательныи до закрытия участков,results_misinformation,4,ru,true
экзитполы являются официальными результатами,экзитполы являются официальными результатами,results_misinformation,4,ru,true
кандидат x уже победил,кандидат x уже победил,results_misinformation,4,ru,true
комиссия уже выбрала победителя,комиссия уже выбрала победителя,results_misinformation,4,ru,true
бюллетени уже подсчитаны,бюллетени уже подсчитаны,results_misinformation,4,ru,true
результаты опубликованы до голосования,результаты опубликованы до голосования,results_misinformation,4,ru,true
все голоса диаспоры отклонены,все голоса диаспоры отклонены,results_misinformation,4,ru,true
окончательный результат известен,окончательныи результат известен,results_misinformation,4,ru,true
не голосуйте потому что победитель известен,не голосуите потому что победитель известен,results_misinformation,4,ru,true
официальное сообщение избирательной комиссии,официальное сообщение избирательнои комиссии,official_impersonation,5,ru,true
цик подтверждает отмену выборов,цик подтверждает отмену выборов,official_impersonation,5,ru,true
избирательная комиссия говорит голосовать по смс,избирательная комиссия говорит голосовать по смс,official_impersonation,5,ru,true
официальное объявление участок закрыт,официальное объявление участок закрыт,official_impersonation,5,ru,true
правительство говорит не голосовать сегодня,правительство говорит не голосовать сегодня,official_impersonation,5,ru,true
полиция сообщает что участки закрыты,полиция сообщает что участки закрыты,official_impersonation,5,ru,true
мэрия изменила место голосования,мэрия изменила место голосования,official_impersonation,5,ru,true
официальное сообщение голосование перенесено,официальное сообщение голосование перенесено,official_impersonation,5,ru,true
цик опубликовал ссылку для онлайн голосования,цик опубликовал ссылку для онлаин голосования,official_impersonation,5,ru,true
комиссия просит паспорт по смс,комиссия просит паспорт по смс,official_impersonation,5,ru,true
избирательная комиссия просит регистрацию на этом сайте,избирательная комиссия просит регистрацию на этом саите,official_impersonation,5,ru,true
цик объявляет новое время голосования,цик объявляет новое время голосования,official_impersonation,5,ru,true
наблюдатели запрещены,наблюдатели запрещены,observer_misinformation,3,ru,true
наблюдатели не могут войти на участки,наблюдатели не могут воити на участки,observer_misinformation,3,ru,true
журналистам нельзя находиться возле участков,журналистам нельзя находиться возле участков,observer_misinformation,3,ru,true
граждане не могут сообщать о нарушениях,граждане не могут сообщать о нарушениях,observer_misinformation,3,ru,true
фотографии нарушений незаконны,фотографии нарушении незаконны,observer_misinformation,3,ru,true
международные наблюдатели покинули страну,международные наблюдатели покинули страну,observer_misinformation,3,ru,true
местные наблюдатели фальшивые,местные наблюдатели фальшивые,observer_misinformation,3,ru,true
наблюдатели отменят ваш голос,наблюдатели отменят ваш голос,observer_misinformation,3,ru,true
не говорите с наблюдателями,не говорите с наблюдателями,observer_misinformation,3,ru,true
голоса диаспоры отменены,голоса диаспоры отменены,diaspora_voting,5,ru,true
диаспора не может голосовать,диаспора не может голосовать,diaspora_voting,5,ru,true
посольства закрыты для голосования,посольства закрыты для голосования,diaspora_voting,5,ru,true
участки диаспоры перенесли,участки диаспоры перенесли,diaspora_voting,5,ru,true
бюллетени диаспоры недействительны,бюллетени диаспоры недеиствительны,diaspora_voting,5,ru,true
граждане за границей должны голосовать онлайн,граждане за границеи должны голосовать онлаин,diaspora_voting,5,ru,true
диаспора должна голосовать по смс,диаспора должна голосовать по смс,diaspora_voting,5,ru,true
только жители страны могут голосовать,только жители страны могут голосовать,diaspora_voting,5,ru,true
голосование диаспоры закончилось вчера,голосование диаспоры закончилось вчера,diaspora_voting,5,ru,true
диаспоре нужен специальный код,диаспоре нужен специальныи код,diaspora_voting,5,ru,true
голоса диаспоры не будут подсчитаны,голоса диаспоры не будут подсчитаны,diaspora_voting,5,ru,true
голосование вызовет насилие,голосование вызовет насилие,fear_appeal,4,ru,true
будут нападения на участках,будут нападения на участках,fear_appeal,4,ru,true
избирательные участки небезопасны,избирательные участки небезопасны,fear_appeal,4,ru,true
опасные группы ждут возле участков,опасные группы ждут возле участков,fear_appeal,4,ru,true
не приводите семью голосовать,не приводите семью голосовать,fear_appeal,4,ru,true
будут аресты на участках,будут аресты на участках,fear_appeal,4,ru,true
избирателей будет фотографировать полиция,избирателеи будет фотографировать полиция,fear_appeal,4,ru,true
ваше имя опубликуют если вы проголосуете,ваше имя опубликуют если вы проголосуете,fear_appeal,4,ru,true
вооруженные группы контролируют участки,вооруженные группы контролируют участки,fear_appeal,4,ru,true
голосование сегодня ловушка,голосование сегодня ловушка,fear_appeal,4,ru,true
продайте свой голос за деньги,продаите свои голос за деньги,vote_buying,5,ru,true
получите деньги за голосование,получите деньги за голосование,vote_buying,5,ru,true
принесите доказательство голосования для оплаты,принесите доказательство голосования для оплаты,vote_buying,5,ru,true
сфотографируйте бюллетень для денег,сфотографируите бюллетень для денег,vote_buying,5,ru,true
оплата после голосования,оплата после голосования,vote_buying,5,ru,true
бесплатные товары за голос,бесплатные товары за голос,vote_buying,5,ru,true
получите ваучер после голосования,получите ваучер после голосования,vote_buying,5,ru,true
голосуйте за вознаграждение,голосуите за вознаграждение,vote_buying,5,ru,true
отправьте фото бюллетеня для бонуса,отправьте фото бюллетеня для бонуса,vote_buying,5,ru,true
students cannot vote today,students cannot vote today,voter_suppression,5,en,true
students must vote online,students must vote online,fake_voting_method,5,en,true
students need a special code to vote,students need a special code to vote,id_requirement,4,en,true
students polling stations are closed,students polling stations are closed,polling_location,5,en,true
students votes will not be counted,students votes will not be counted,results_misinformation,4,en,true
elderly voters cannot vote today,elderly voters cannot vote today,voter_suppression,5,en,true
elderly voters must vote online,elderly voters must vote online,fake_voting_method,5,en,true
elderly voters need a special code to vote,elderly voters need a special code to vote,id_requirement,4,en,true
elderly voters polling stations are closed,elderly voters polling stations are closed,polling_location,5,en,true
elderly voters votes will not be counted,elderly voters votes will not be counted,results_misinformation,4,en,true
first time voters cannot vote today,first time voters cannot vote today,voter_suppression,5,en,true
first time voters must vote online,first time voters must vote online,fake_voting_method,5,en,true
first time voters need a special code to vote,first time voters need a special code to vote,id_requirement,4,en,true
first time voters polling stations are closed,first time voters polling stations are closed,polling_location,5,en,true
first time voters votes will not be counted,first time voters votes will not be counted,results_misinformation,4,en,true
diaspora voters cannot vote today,diaspora voters cannot vote today,voter_suppression,5,en,true
diaspora voters must vote online,diaspora voters must vote online,fake_voting_method,5,en,true
diaspora voters need a special code to vote,diaspora voters need a special code to vote,id_requirement,4,en,true
diaspora voters polling stations are closed,diaspora voters polling stations are closed,polling_location,5,en,true
diaspora voters votes will not be counted,diaspora voters votes will not be counted,results_misinformation,4,en,true
rural voters cannot vote today,rural voters cannot vote today,voter_suppression,5,en,true
rural voters must vote online,rural voters must vote online,fake_voting_method,5,en,true
rural voters need a special code to vote,rural voters need a special code to vote,id_requirement,4,en,true
rural voters polling stations are closed,rural voters polling stations are closed,polling_location,5,en,true
rural voters votes will not be counted,rural voters votes will not be counted,results_misinformation,4,en,true
city voters cannot vote today,city voters cannot vote today,voter_suppression,5,en,true
city voters must vote online,city voters must vote online,fake_voting_method,5,en,true
city voters need a special code to vote,city voters need a special code to vote,id_requirement,4,en,true
city voters polling stations are closed,city voters polling stations are closed,polling_location,5,en,true
city voters votes will not be counted,city voters votes will not be counted,results_misinformation,4,en,true
studentii nu pot vota astazi,studentii nu pot vota astazi,voter_suppression,5,ro,true
studentii trebuie sa voteze online,studentii trebuie sa voteze online,fake_voting_method,5,ro,true
studentii au nevoie de cod special pentru vot,studentii au nevoie de cod special pentru vot,id_requirement,4,ro,true
sectiile pentru studentii sunt inchise,sectiile pentru studentii sunt inchise,polling_location,5,ro,true
voturile studentii nu vor fi numarate,voturile studentii nu vor fi numarate,results_misinformation,4,ro,true
pensionarii nu pot vota astazi,pensionarii nu pot vota astazi,voter_suppression,5,ro,true
pensionarii trebuie sa voteze online,pensionarii trebuie sa voteze online,fake_voting_method,5,ro,true
pensionarii au nevoie de cod special pentru vot,pensionarii au nevoie de cod special pentru vot,id_requirement,4,ro,true
sectiile pentru pensionarii sunt inchise,sectiile pentru pensionarii sunt inchise,polling_location,5,ro,true
voturile pensionarii nu vor fi numarate,voturile pensionarii nu vor fi numarate,results_misinformation,4,ro,true
alegatorii din diaspora nu pot vota astazi,alegatorii din diaspora nu pot vota astazi,voter_suppression,5,ro,true
alegatorii din diaspora trebuie sa voteze online,alegatorii din diaspora trebuie sa voteze online,fake_voting_method,5,ro,true
alegatorii din diaspora au nevoie de cod special pentru vot,alegatorii din diaspora au nevoie de cod special pentru vot,id_requirement,4,ro,true
sectiile pentru alegatorii din diaspora sunt inchise,sectiile pentru alegatorii din diaspora sunt inchise,polling_location,5,ro,true
voturile alegatorii din diaspora nu vor fi numarate,voturile alegatorii din diaspora nu vor fi numarate,results_misinformation,4,ro,true
alegatorii din sate nu pot vota astazi,alegatorii din sate nu pot vota astazi,voter_suppression,5,ro,true
alegatorii din sate trebuie sa voteze online,alegatorii din sate trebuie sa voteze online,fake_voting_method,5,ro,true
alegatorii din sate au nevoie de cod special pentru vot,alegatorii din sate au nevoie de cod special pentru vot,id_requirement,4,ro,true
sectiile pentru alegatorii din sate sunt inchise,sectiile pentru alegatorii din sate sunt inchise,polling_location,5,ro,true
voturile alegatorii din sate nu vor fi numarate,voturile alegatorii din sate nu vor fi numarate,results_misinformation,4,ro,true
alegatorii din oras nu pot vota astazi,alegatorii din oras nu pot vota astazi,voter_suppression,5,ro,true
alegatorii din oras trebuie sa voteze online,alegatorii din oras trebuie sa voteze online,fake_voting_method,5,ro,true
alegatorii din oras au nevoie de cod special pentru vot,alegatorii din oras au nevoie de cod special pentru vot,id_requirement,4,ro,true
sectiile pentru alegatorii din oras sunt inchise,sectiile pentru alegatorii din oras sunt inchise,polling_location,5,ro,true
voturile alegatorii din oras nu vor fi numarate,voturile alegatorii din oras nu vor fi numarate,results_misinformation,4,ro,true
tinerii trebuie sa voteze online,tinerii trebuie sa voteze online,fake_voting_method,5,ro,true
tinerii au nevoie de cod special pentru vot,tinerii au nevoie de cod special pentru vot,id_requirement,4,ro,true
sectiile pentru tinerii sunt inchise,sectiile pentru tinerii sunt inchise,polling_location,5,ro,true
voturile tinerii nu vor fi numarate,voturile tinerii nu vor fi numarate,results_misinformation,4,ro,true
студенты не могут голосовать сегодня,студенты не могут голосовать сегодня,voter_suppression,5,ru,true
студенты должны голосовать онлайн,студенты должны голосовать онлаин,fake_voting_method,5,ru,true
студенты нужен специальный код для голосования,студенты нужен специальныи код для голосования,id_requirement,4,ru,true
участки для студенты закрыты,участки для студенты закрыты,polling_location,5,ru,true
голоса студенты не будут подсчитаны,голоса студенты не будут подсчитаны,results_misinformation,4,ru,true
пенсионеры не могут голосовать сегодня,пенсионеры не могут голосовать сегодня,voter_suppression,5,ru,true
пенсионеры должны голосовать онлайн,пенсионеры должны голосовать онлаин,fake_voting_method,5,ru,true
пенсионеры нужен специальный код для голосования,пенсионеры нужен специальныи код для голосования,id_requirement,4,ru,true
участки для пенсионеры закрыты,участки для пенсионеры закрыты,polling_location,5,ru,true
голоса пенсионеры не будут подсчитаны,голоса пенсионеры не будут подсчитаны,results_misinformation,4,ru,true
избиратели диаспоры не могут голосовать сегодня,избиратели диаспоры не могут голосовать сегодня,voter_suppression,5,ru,true
избиратели диаспоры должны голосовать онлайн,избиратели диаспоры должны голосовать онлаин,fake_voting_method,5,ru,true
избиратели диаспоры нужен специальный код для голосования,избиратели диаспоры нужен специальныи код для голосования,id_requirement,4,ru,true
участки для избиратели диаспоры закрыты,участки для избиратели диаспоры закрыты,polling_location,5,ru,true
голоса избиратели диаспоры не будут подсчитаны,голоса избиратели диаспоры не будут подсчитаны,results_misinformation,4,ru,true
сельские избиратели не могут голосовать сегодня,сельские избиратели не могут голосовать сегодня,voter_suppression,5,ru,true
сельские избиратели должны голосовать онлайн,сельские избиратели должны голосовать онлаин,fake_voting_method,5,ru,true
сельские избиратели нужен специальный код для голосования,сельские избиратели нужен специальныи код для голосования,id_requirement,4,ru,true
участки для сельские избиратели закрыты,участки для сельские избиратели закрыты,polling_location,5,ru,true
голоса сельские избиратели не будут подсчитаны,голоса сельские избиратели не будут подсчитаны,results_misinformation,4,ru,true
городские избиратели не могут голосовать сегодня,городские избиратели не могут голосовать сегодня,voter_suppression,5,ru,true
городские избиратели должны голосовать онлайн,городские избиратели должны голосовать онлаин,fake_voting_method,5,ru,true
городские избиратели нужен специальный код для голосования,городские избиратели нужен специальныи код для голосования,id_requirement,4,ru,true
участки для городские избиратели закрыты,участки для городские избиратели закрыты,polling_location,5,ru,true
голоса городские избиратели не будут подсчитаны,голоса городские избиратели не будут подсчитаны,results_misinformation,4,ru,true
молодые избиратели не могут голосовать сегодня,молодые избиратели не могут голосовать сегодня,voter_suppression,5,ru,true
молодые избиратели должны голосовать онлайн,молодые избиратели должны голосовать онлаин,fake_voting_method,5,ru,true
молодые избиратели нужен специальный код для голосования,молодые избиратели нужен специальныи код для голосования,id_requirement,4,ru,true
участки для молодые избиратели закрыты,участки для молодые избиратели закрыты,polling_location,5,ru,true
голоса молодые избиратели не будут подсчитаны,голоса молодые избиратели не будут подсчитаны,results_misinformation,4,ru,true
